merged_point_id,segment_ids_with_directions,geometry,stop_xy,segment_id,direction,travelDirection
3000,MAG_6258_E,POINT (-111.82324477107498 40.3622325302807),430100_4468280,MAG_6258,E,WB
3002,MAG_6260_E,POINT (-111.69657784555618 40.15161436695965),440680_4444820,MAG_6260,E,WB
3003,MAG_6261_E,POINT (-111.68917946818043 40.151592292347054),441300_4444820,MAG_6261,E,WB
3003,MAG_6265_E,POINT (-111.68917946818043 40.151592292347054),441300_4444820,MAG_6265,E,WB
3004,MAG_6367_E,POINT (-111.7075249286194 40.12932063591256),439720_4442360,MAG_6367,E,WB
3005,MAG_6262_E,POINT (-111.69860244804522 40.12933980535445),440480_4442340,MAG_6262,E,WB
3005,MAG_6268_E,POINT (-111.69860244804522 40.12933980535445),440480_4442340,MAG_6268,E,WB
3005,MAG_6371_E,POINT (-111.69860244804522 40.12933980535445),440480_4442340,MAG_6371,E,WB
3007,MAG_6266_E,POINT (-111.69899260576588 40.14037582173838),440460_4443580,MAG_6266,E,WB
3007,MAG_6269_E,POINT (-111.69899260576588 40.14037582173838),440460_4443580,MAG_6269,E,WB
3008,MAG_6267_E,POINT (-111.69876363902789 40.13687974280373),440480_4443180,MAG_6267,E,WB
3009,MAG_6278_E,POINT (-111.68241095749872 40.14035309729292),441860_4443560,MAG_6278,E,WB
